省,市,日期,房价
江苏,连云港,2015-12,5964
江苏,连云港,2015-11,5633
江苏,连云港,2015-10,5935
江苏,连云港,2015-09,5935
江苏,连云港,2015-08,5350
江苏,连云港,2015-07,5244
江苏,连云港,2015-06,5285
江苏,连云港,2015-05,5393
江苏,连云港,2015-04,5451
江苏,连云港,2016-12,6458
江苏,连云港,2016-11,6453
江苏,连云港,2016-10,6032
江苏,连云港,2016-09,6214
江苏,连云港,2016-08,6260
江苏,连云港,2016-07,6190
江苏,连云港,2016-06,6109
江苏,连云港,2016-05,5913
江苏,连云港,2016-04,6097
江苏,连云港,2016-03,6241
江苏,连云港,2016-02,5966
江苏,连云港,2016-01,5964
江苏,连云港,2017-12,8438
江苏,连云港,2017-11,8526
江苏,连云港,2017-10,8575
江苏,连云港,2017-09,8945
江苏,连云港,2017-08,9026
江苏,连云港,2017-07,9303
江苏,连云港,2017-06,9303
江苏,连云港,2017-05,8514
江苏,连云港,2017-04,7882
江苏,连云港,2017-03,7588
江苏,连云港,2017-02,7228
江苏,连云港,2017-01,7071
江苏,连云港,2018-12,8510
江苏,连云港,2018-11,8592
江苏,连云港,2018-10,8591
江苏,连云港,2018-09,8571
江苏,连云港,2018-08,8532
江苏,连云港,2018-07,8401
江苏,连云港,2018-06,8353
江苏,连云港,2018-05,8279
江苏,连云港,2018-04,8303
江苏,连云港,2018-03,8326
江苏,连云港,2018-02,8341
江苏,连云港,2018-01,8359
江苏,连云港,2019-03,8453
江苏,连云港,2019-02,8438
江苏,连云港,2019-01,8421
江苏,南通,2011-12,9986
江苏,南通,2011-11,9971
江苏,南通,2012-12,9408
江苏,南通,2012-11,9313
江苏,南通,2012-10,9696
江苏,南通,2012-09,9631
江苏,南通,2012-08,10277
江苏,南通,2012-07,10062
江苏,南通,2012-06,9919
江苏,南通,2012-05,9727
江苏,南通,2012-04,9615
江苏,南通,2012-03,9608
江苏,南通,2012-02,9868
江苏,南通,2012-01,9971
江苏,南通,2013-12,8218
江苏,南通,2013-11,8018
江苏,南通,2013-10,8013
江苏,南通,2013-09,10399
江苏,南通,2013-08,11654
江苏,南通,2013-07,11177
江苏,南通,2013-06,10562
江苏,南通,2013-05,9682
江苏,南通,2013-04,9627
江苏,南通,2013-03,9470
江苏,南通,2013-02,8523
江苏,南通,2013-01,9051
江苏,南通,2014-11,8686
江苏,南通,2014-10,8505
江苏,南通,2014-09,8738
江苏,南通,2014-08,8383
江苏,南通,2014-07,7991
江苏,南通,2014-06,7535
江苏,南通,2014-05,7480
江苏,南通,2014-04,7785
江苏,南通,2014-03,8495
江苏,南通,2014-02,8778
江苏,南通,2014-01,8374
